Year,Song_longest,Artist_longest,duration_min_longest,Song_shortest,Artist_shortest,duration_min_shortest
2006,Hate Me,Blue October,6.336666666666667,Black Horse & The Cherry Tree,KT Tunstall,2.8728833333333332
2007,What Goes Around...Comes Around,Justin Timberlake,7.476216666666667,Outta My System,Bow Wow Featuring T-Pain & Johnta Austin,2.3400166666666666
2008,Sexy Can I,Ray J & Yung Berg,5.6273333333333335,Burnin' Up,Jonas Brothers,2.9182166666666665
2009,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",5.961783333333333,Replay,Iyaz,3.03845
2010,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",5.961783333333333,Nothin' On You,B.o.B Featuring Bruno Mars,2.828666666666667
2011,The Edge Of Glory,Lady Gaga,5.343116666666667,Barefoot Blue Jean Night,Jake Owen,2.79045
2012,Mercy,"Kanye West, Big Sean, Pusha T, 2 Chainz",5.488666666666667,Birthday Cake,Rihanna Featuring Chris Brown,1.3033333333333332
2013,Mirrors,Justin Timberlake,8.069116666666666,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,2.13355
2014,Not A Bad Thing,Justin Timberlake,11.474216666666667,Studio,ScHoolboy Q Featuring BJ The Chicago Kid,2.3334166666666665
2015,Tuesday,I LOVE MAKONNEN Featuring Drake,5.36645,She Knows,Ne-Yo Featuring Juicy J,2.258383333333333
2016,Low Life,Future Featuring The Weeknd,5.225783333333333,Broccoli,D.R.A.M. Featuring Lil Yachty,1.7885666666666666
2017,Bad And Boujee,Migos Featuring Lil Uzi Vert,5.719166666666666,Broccoli,D.R.A.M. Featuring Lil Yachty,1.7885666666666666
2018,Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",6.965333333333334,Changes,XXXTENTACION,2.03145
2019,Sicko Mode,Travis Scott,5.213666666666667,Baby Shark,Pinkfong,1.3487833333333332
2020,Laugh Now Cry Later,Drake Featuring Lil Durk,4.35375,Panini,Lil Nas X,1.9148833333333333
2021,Take My Breath,The Weeknd,5.650383333333333,Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),1.051
2022,All Too Well (Taylor's Version),Taylor Swift,5.486,Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),1.051
2023,Wait In The Truck,HARDY Featuring Lainey Wilson,4.627666666666666,Just Wanna Rock,Lil Uzi Vert,2.06485
