Artist,Song,Year,album_id,Album,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Genres
Daniel Powter,Bad Day,2006,4zhigAhPwqp43XVHBiVeQI,Daniel Powter,2005-02-22,0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,233640,4,"['canadian pop', 'neo mellow', 'pop rock']"
Sean Paul,Temperature,2006,32Bu3ETQhR1PFCj3ndDlYf,The Trinity,2005-09-26,0.951,0.6,0,-4.675,0,0.0685,0.106,0.0,0.0712,0.822,125.04,218573,4,"['dance pop', 'dancehall', 'pop', 'pop rap']"
Nelly Furtado Featuring Timbaland,Promiscuous,2006,0i34YzQv4lMroIaDtlWhFo,Promiscuous (In the Style of Nelly Furtado & Timberland) [Karaoke Version] - Single,2013-03-09,0.803,0.574,1,-13.556,1,0.053,0.00474,0.25,0.099,0.766,114.306,243493,4,"['canadian latin', 'canadian pop', 'dance pop', 'pop']"
James Blunt,You're Beautiful,2006,1ekaxA9Q5GzUPCepx4wzMF,Back to Bedlam,2005-08-08,0.675,0.479,0,-9.87,0,0.0278,0.633,1.76e-05,0.088,0.454,81.998,209493,4,['neo mellow']
Shakira Featuring Wyclef Jean,Hips Don't Lie,2006,4JNAQ2MPnM6oh5GSUUic8o,Drew's Famous # 1 Karaoke Hits: 2000's Party Hits Vol. 2,2011-02-15,0.797,0.533,8,-9.554,0,0.069,0.016,0.168,0.155,0.688,99.989,234013,4,[]
Natasha Bedingfield,Unwritten,2006,3PEzTAuPW5IjLJ58FzwQeL,Unwritten,2004-08-30,0.706,0.8,5,-6.333,1,0.0399,0.00584,0.0,0.0822,0.629,100.011,259333,4,"['dance pop', 'pop', 'post-teen pop']"
Gnarls Barkley,Crazy,2006,7p2aWivr9OLXocSTTKtG9B,St. Elsewhere,2006-05-02,0.835,0.741,8,-1.609,1,0.0339,0.0172,0.0577,0.0826,0.612,111.963,182066,4,"['atl hip hop', 'neo soul']"
Chamillionaire Featuring Krayzie Bone,Ridin',2006,31dzB4ULKZfOH71tuaBiR8,The Sound of Revenge,2005-01-01,0.787,0.799,8,-4.68,0,0.0993,0.189,0.0,0.3,0.835,143.052,303053,4,"['dirty south rap', 'gangster rap', 'ohio hip hop']"
Justin Timberlake,SexyBack,2006,2scB1uhcCI1TSf6b9TCZK3,FutureSex/LoveSounds,2006-09-12,0.967,0.583,7,-5.562,0,0.0789,0.0584,0.0,0.0519,0.964,117.0,242733,4,"['dance pop', 'pop']"
Beyonce Featuring Slim Thug,Check On It,2006,1XLiikmwB5uRdMtM66wHJp,Boss of All Bosses,2009-03-24,0.78,0.705,1,-3.641,0,0.0924,0.0102,0.0034,0.11,0.32,155.992,230707,4,"['crunk', 'dirty south rap']"
Mary J. Blige,Be Without You,2006,13HYuDhB1soZvHzwoymXoV,The Breakthrough,2005-01-01,0.726,0.7,2,-5.881,0,0.0998,0.0717,0.0,0.262,0.673,146.559,246333,4,"['dance pop', 'hip pop', 'neo soul', 'r&b', 'urban contemporary']"
"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,2006,4FyzqUSV3OqNvh0bjF2qaZ,Still Hot In Herre,2022-10-14,0.863,0.515,4,-7.243,0,0.243,0.0423,0.0,0.301,0.844,82.985,271160,4,"['canadian latin', 'canadian pop', 'dance pop', 'pop']"
The Fray,Over My Head (Cable Car),2006,1IM3GwptCGYjRkzCBolyFK,How To Save A Life,2005-09-13,0.592,0.729,8,-4.156,1,0.0448,0.022,0.0,0.0653,0.709,116.03,236267,4,"['neo mellow', 'piano rock', 'pop', 'pop rock']"
